"term","frequency","density","occurrence"
"aaaaaaaaaaaazgabldumrqaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaamrqmrqgaoksbegngaayhld",1,8.00864934128859e-06,0.002
"aaaaaaaaaaanssiafmljltnbkfubtiyxlzgyooddujccljmdukrxjdqsfvxumeiodkmvb",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaulbdjzsejtyfhgouenlxtfwoxioreuldzwdocwtpfayfqtcdc",1,8.00864934128859e-06,0.002
"aaaaaaaaaaevxyegdtcwmuajzuagvwnpwaegtuytwovpukyzsxuecedzzwkzgvblvo",1,8.00864934128859e-06,0.002
"aaaaaaaaaapldwuzytdoxbbqkhovauafnaxvttnrjxpmlfwkywggoagfdaawdxacwe",1,8.00864934128859e-06,0.002
"aaaaaaaaaavyzhrgskeswvwalzdxbyvyzhrgsaaaaaaaaaaaaaaaaaaaaaaaaaaa",1,8.00864934128859e-06,0.002
"aaaaaaaaavqaaahdaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadhcsuefbdm",2,1.60172986825772e-05,0.004
"aaaaaaaablzxniaaaaaaaaaayuoyuqaazxuaaaaaaaaaaaaaaaaavnezweqevqfvplzbvfk",1,8.00864934128859e-06,0.002
"aaaaaaabaaidbaugbwgjcgsqaaeeaqmcbaifbwyibqmmmweaahedbcesmqvbuwetingbmgyu",2,1.60172986825772e-05,0.004
"aaaaaaabxgaaavqaaaazadaaoaawagoatablagaawbhafcabwbsagyazwbhagazwaadca",1,8.00864934128859e-06,0.002
"aaaaaaahyydmdxxzztnfnhifnmjsxxpbknocecjwlqgxwmsgpwpeffltkpwr",1,8.00864934128859e-06,0.002
"aaaaaaawjtjzbneebukttcvleoxwwywnyxvuofqjcvkxgkyyqqszyuqncxgumxzswre",1,8.00864934128859e-06,0.002
"aaaaaahdjxpnjcsocyphqpselpjysztewzvxkuwamqaaadbqdbzvfkevhclxstte",1,8.00864934128859e-06,0.002
"aaaaaaodurakocwnkxuryjztvhyxgajzhplsjnjulpptbpwnflyezshjul",1,8.00864934128859e-06,0.002
"aaaaaaqaaaaeoejjtqqzekzyiedsbjhbcbbbhrpdhvkzqaaaaaeaaaahjhcsudwtqcmlu",1,8.00864934128859e-06,0.002
"aaaaabxqfvplzbpxsvnkguoadbiaaboptwjqorwifunmudzagcyrewmxj",1,8.00864934128859e-06,0.002
"aaaaafdsthjhfciwaejanctidrrlizdfputshjkxetrddmmkovzwvwzoekmudjvewba",1,8.00864934128859e-06,0.002
"aaaaafuaaaabaqaaaaaqqbkagaygblacaauaboagadabvahmaaabvahaaaaataeeazabv",1,8.00864934128859e-06,0.002
"aaaaagfuarszqopdpmgxvaadilfrgmcsxmsnbqqhbcfdtuqhziowdymfovgn",1,8.00864934128859e-06,0.002
"aaaaanmtyxbwbaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",2,1.60172986825772e-05,0.004
"aaaaapmbaaeaaaabzdzxhaaaaaenvchlyawdodcbbchbszsbdbwdxrlciwgswjliax",2,1.60172986825772e-05,0.004
"aaaaaqaacyzmgaaaaaaarmfaaalpvvsaaaaadpdrvvaaagjwaalevgao",2,1.60172986825772e-05,0.004
"aaaaavyzhrgskeswvwalzdxaawfcvwyfklaaaaaaaaaaaajzfthklnypnriljr",1,8.00864934128859e-06,0.002
"aaaaaztrqzwwqybswvagyviwxhbgmedlliuoenrfygxnmcqhtgeprrywfraab",1,8.00864934128859e-06,0.002
"aaaacbbfddfddcfccdbbdcabddebcedcc",1,8.00864934128859e-06,0.002
"aaaacrlcmaaaeiaaaanjywvoaaagoaaaafgdywvoaaagaaaafgjywvoaaahqaaaafhju",2,1.60172986825772e-05,0.004
"aaaacuxrmplffhxlmhyvagblmhyvcwrlzdxbyaaaahouusjoaiswtpnowuyeizt",1,8.00864934128859e-06,0.002
"aaaadiyuqaaaaakstqaaaaaaaaaajpnkkomtlihqaaattpkaaaaaaaaaaaaaaaaetaa",1,8.00864934128859e-06,0.002
"aaaahdaqaosbsghubuyxlgtvzaegoorsjukbztcrboonoygcnjzasakqgixpa",1,8.00864934128859e-06,0.002
"áááàî",1,8.00864934128859e-06,0.002
"åäáàîåíý",1,8.00864934128859e-06,0.002
"áàåàîµéàì",1,8.00864934128859e-06,0.002
"aaaamzjzqaaaiaaaamgnoywqaaajsaaaalgrlcmaaaaaaaaaffsbgdlbwvpbmvzifjh",2,1.60172986825772e-05,0.004
"aaaaoblngvkdoaaazqaazqaadkaaaaaaaaaaaaaaaaaazxvdkoaaaaaaaaaaaaaaaaaaaaaaaaa",1,8.00864934128859e-06,0.002
"aaaavebyvebnlpzuxrmplfabyvyzhrgsobqaaaaaaaayttdtdxchvgzvternznyse",1,8.00864934128859e-06,0.002
"aaaazaaaaaeaawmdapaascpaaeaaqaaaaaaaaaaaaaaagaiabkbkaaaaaaaaaaaaaaaaaaa",2,1.60172986825772e-05,0.004
"aaabbgqydocgoqqhbvoiaadareccbkkeoghzmcydjowcwagaicontuaqadgcqybbsbobhaaweqc",1,8.00864934128859e-06,0.002
"aaacbfbcaacefcbabccfbcd",1,8.00864934128859e-06,0.002
"aaadwwanyioaaoavdwgdujtzuwcbgiacgascjkoxfkigaoahrwghioaot",1,8.00864934128859e-06,0.002
"ááæáöí",1,8.00864934128859e-06,0.002
"aaaecaabawscaihbjgyqaxazdkgfahzafwsiepglvwuijjagcaqljjkfsqbsarnacejkxy",1,8.00864934128859e-06,0.002
"áãæº",1,8.00864934128859e-06,0.002
"aaahkvkbhucuiehvbwugucztieubgluzsbtdxblcibtdgyzsaoahrcdovlddyqbhu",1,8.00864934128859e-06,0.002
"ªãáµµî",1,8.00864934128859e-06,0.002
"ááàîàç",1,8.00864934128859e-06,0.002
"ààªíäôçªäêé",4,3.20345973651544e-05,0.008
"ááàîbrºýàûàî",1,8.00864934128859e-06,0.002
"ááàº",1,8.00864934128859e-06,0.002
"aaaoxaaadsqblssogwaajjrefuenrsqtgdlpvstwctvbegyrjmjqzgehbnnjji",1,8.00864934128859e-06,0.002
"ááàý",1,8.00864934128859e-06,0.002
"aabcwdbngeqevfdpmgxkhhrvppckdtllnptwppmfnkrwfsmpodkaiyevglwl",1,8.00864934128859e-06,0.002
"aabemgaaraabhzwflaiaaaaaaaacspaaawwaaatpjdxjaaaaaaaaaaebzaaawflaiaaa",2,1.60172986825772e-05,0.004
"aabvvqeoiixjjetjoamroakfwoliqfbtpmxnhawfrkacdddpqcuaseibdtahroax",1,8.00864934128859e-06,0.002
"âàç",1,8.00864934128859e-06,0.002
"äµåçàç",1,8.00864934128859e-06,0.002
"aacdbcebcaababccdcbcbcbfaababa",1,8.00864934128859e-06,0.002
"aacgkguaaqaaajacaacgkgmaaqaaaaiaaaayaqiafaaaajgcaacgkgqaaqaaakcaacgkgqa",1,8.00864934128859e-06,0.002
"aackjajganphafiuaksnaaqeabwisaiuafbcadfxcfqagvjadstblexackqaeksadpadfbac",1,8.00864934128859e-06,0.002
"aacnetfmpvjrxpuzpnlunbjliucsjijyvoxctlxhqufmdlpkhsyxfpdkzyowlrn",1,8.00864934128859e-06,0.002
"àãcnì",4,3.20345973651544e-05,0.008
"aacqaaaazaaaacoaaaakaaaaagabaaiabaaaafioaacaacabaaaadaxmdaaaaaacgcgkgma",1,8.00864934128859e-06,0.002
"aactive",5,4.0043246706443e-05,0.01
"aactivecolorffcc",1,8.00864934128859e-06,0.002
"aactivefontfamilyverdanacolorfffontsizepxfontweightboldtextdecorationunderline",1,8.00864934128859e-06,0.002
"áåð",1,8.00864934128859e-06,0.002
"aadaanceixpcojuaenwjpkawkridkuqoxicugmchfdiaiaisujckqeailvidbphjsphjqb",1,8.00864934128859e-06,0.002
"aadffrbbjytozdmdfywtbjvvofavamvasrddrlvppfkzmhzhwimztyadw",2,1.60172986825772e-05,0.004
"aadgaoqwrvymuaziaaaaabsahaamcagicqgmcqkmeqskcxevdwwmdxuyexmvexmyeqwm",2,1.60172986825772e-05,0.004
"äãµðºåí",1,8.00864934128859e-06,0.002
"aaeaaaaaaaaaaaaaaaaaaaaaoejjtqptcljlcsdxrpbaaaaaeabiaaaaaqacaegaaaab",2,1.60172986825772e-05,0.004
"ªaèäaèoãòcåwªïß",1,8.00864934128859e-06,0.002
"aaeabgzmaayaaaaaaaealzmaaeaozmaaayaaaaaaaeamgaaaaeawgaaaayaaaaaaaeanqaa",2,1.60172986825772e-05,0.004
"aaealqaaaayaaaaaaaeqklnagxqsbigvhjhbnnmzxiguvdgluzmaaabwaad",2,1.60172986825772e-05,0.004
"àµæàº",1,8.00864934128859e-06,0.002
"ªªêàoîóððµäðûêºbr",1,8.00864934128859e-06,0.002
"aaebumabrihcjzaagioymxjpjdscblyrxvjugrihgqyeikcokcarjorhgswgijqzhnxhniib",1,8.00864934128859e-06,0.002
"aaefvhwhpopanrlixynbzraknilsxovklzotnmmjopnejjwpxdfwxpfrmruvomqr",1,8.00864934128859e-06,0.002
"àåë
ºðßàç é",1,8.00864934128859e-06,0.002
"aaevswzxnkxehlwzvzeyyekimccfzqfkzzydmtacaaehyvqlnidwcglwrdicjywaccceo",1,8.00864934128859e-06,0.002
"aafaaaaaaaaaaaaaadbahdowdwaojbaahchcacogaaahnvxhfuinarlyrzqpvbyp",1,8.00864934128859e-06,0.002
"aafahwwyvkmfkdewqclibxniohabkaubawyciarrgwaqmigemaaztyxmbbmthagvizvaqw",1,8.00864934128859e-06,0.002
"aafcgkiigdwlnrvkwxozsgpgzfbxgwdpulcbiikwwohopikahtavzjvmjhnkekunrrglf",1,8.00864934128859e-06,0.002
"aafxpvnlmzcwtxccupxekfohnhlhwjnzyxmraomglscpgbhzktxbtb",2,1.60172986825772e-05,0.004
"aaggonwwtzgglxiddabbgaqlypsygbamncaagwhwiuablbseiefggjlbikygqgwumaa",1,8.00864934128859e-06,0.002
"aaghbpsptxncmvkdcjskbmgkisrssiubroojwdeyvxrvujpczymuqf",1,8.00864934128859e-06,0.002
"aahaqdbtqfajagagmacslqglkhfjcsjrnvrtjdlyymezvncqgsrydwdtuyhiardawq",1,8.00864934128859e-06,0.002
"áàì",1,8.00864934128859e-06,0.002
"áàî",1,8.00864934128859e-06,0.002
"äáîààº",1,8.00864934128859e-06,0.002
"aaibqddwnsnxcspceiznzduwrhglrlcwsvebjvgtawebhsorhqdsonxvjmaem",1,8.00864934128859e-06,0.002
"áªïµèëõåïèéú",1,8.00864934128859e-06,0.002
"aaiqklnbayrlggrxvymfsiexpzhawniefuzxlaaaaaaqaaaaeoejjtqqzekzyieds",2,1.60172986825772e-05,0.004
"aairaxeapwdxxttxvjahwmdaohvovsjyzzxmvyxpbogtcgelmapuymmsbven",1,8.00864934128859e-06,0.002
"áàìù",2,1.60172986825772e-05,0.002
"aakajqajcebbavsymzhlsqhqnxvozcttmgiegcybemskdlmialumqlmedosnkhynamidrszvd",1,8.00864934128859e-06,0.002
"aamamhjhpcmegscaddbjccwkcguqpkmbakekigrkmqeffqabafvcsqikhdyjwwgmghcemdv",1,8.00864934128859e-06,0.002
"aamulzxgckaldgacaaaaaaaaaaaaaaaacruuluquwsppavaaqllbbzxizabszroqstr",1,8.00864934128859e-06,0.002
"äáò",2,1.60172986825772e-05,0.002
"åàôáàç",1,8.00864934128859e-06,0.002
"àµãõâáµñçñºòãàåõèâáåãñéãëè",1,8.00864934128859e-06,0.002
"âäµøæûçò",1,8.00864934128859e-06,0.002
"ãâøíâåäãéãáá",1,8.00864934128859e-06,0.002
"aaokxmkbohdjezhwehxpewuuepszsvniuwnhmgyngebynxrsv",1,8.00864934128859e-06,0.002
"äãôºíóðòìíêéæµäëóàþèºlëñëwâlñïµyspanspanbr
óðòâõßçëàðåáªïµºa href",1,8.00864934128859e-06,0.002
"aaqaaaaaoejjtqqablnsawnlcwaaaacbaaaabgaaaaaaaaaaaaabqaaavqaaaaqaesamqag",2,1.60172986825772e-05,0.004
"aaqfeuektvhuuvidclgeyenqagakdodzyqytleycsywserclhosipyqvlrer",1,8.00864934128859e-06,0.002
"aaqgcqdkadoucfwxxfglajsntayecbuafbxcbdlqwrzfxglkmiyswaiojicdpawrvykat",1,8.00864934128859e-06,0.002
"aaqoctcpishqccowcmzdglxxljahidvibgagcamdmnetjasjtiosznnydbtwloowgeh",1,8.00864934128859e-06,0.002
"aaqskzjrgabageasabiaadgaoqwrvymuaziaaaaabsahaamcagicqgmcqkmeqskcxev",1,8.00864934128859e-06,0.002
"aatuiigcqhhpsaeyeliiczhuwasaaattzkmqzkgtvwproadpdxqgmanrcgciajthxetw",1,8.00864934128859e-06,0.002
"ááù",1,8.00864934128859e-06,0.002
"ãàûàî",1,8.00864934128859e-06,0.002
"ãàûµçâ",1,8.00864934128859e-06,0.002
"ãàûµé",1,8.00864934128859e-06,0.002
"âàüºîåí",1,8.00864934128859e-06,0.002
"aavanbwdhyvehpwchnydjyfacnhwcsuhzpwpwawayvtsogmeeczpawva",2,1.60172986825772e-05,0.004
"aavishkar",1,8.00864934128859e-06,0.002
"aavsvdklgvyrdyasobzhhdzhvubipsvxbckltepquzlyrniojsdaicg",2,1.60172986825772e-05,0.004
"aavwwavyuipwiparpgiwbcewwideoffjiausnymuoilqsiaaoiyymdwisgbauarzwavu",1,8.00864934128859e-06,0.002
"aawebsite",1,8.00864934128859e-06,0.002
"aawhnoaaaaaaaaagqaokcxlamsbksistxvaammspryulfzbwvebhhoksbkknhyuvltjdqo",1,8.00864934128859e-06,0.002
"aawmacjvbsererererererererererfvsyiillbjwljxxcucypkkpjlmmmirwcxlc",1,8.00864934128859e-06,0.002
"aayaaaatlbcudunhmomztoaqyelkuztprdzixaernwdyydtulxootasbbsoetg",1,8.00864934128859e-06,0.002
"aayehmttjdgywmgtnkqkplwwwpplwnstmxjydxboxbouwzekfiegklywawvp",1,8.00864934128859e-06,0.002
"aaymeeiirbdgsbckokmmnoiunfbgkaojddsoagagiwrijshduwqhjwdbettmezpgibas",1,8.00864934128859e-06,0.002
"aazhcfvrbmkibakyagqvyituxaiusnicdzbqgcirrxekuwogczwafimwieqaaayepg",1,8.00864934128859e-06,0.002
"abacha",6,4.80518960477315e-05,0.01
"abandon",2,1.60172986825772e-05,0.004
"abandoned",4,3.20345973651544e-05,0.006
"abatementbr",1,8.00864934128859e-06,0.002
"abbqlsaekrmkibkiaxipiabggexvmkgseoavdvitwhkqfrzwvjiyjnvrjllqybhvd",1,8.00864934128859e-06,0.002
"abcc",4,3.20345973651544e-05,0.002
"abcwjgdizrmaihugbhaytwfzunjnqgltdeabhgmkewumbcnqimekcqgaqmdxmgv",1,8.00864934128859e-06,0.002
"abdxtkydtcwqmkkhviorxxjwqyowtjgibvoiizckxqqepmoilngkaadyksurbvnpg",1,8.00864934128859e-06,0.002
"abfontfont",2,1.60172986825772e-05,0.004
"abgsntxsliiinzzkarxkojouyggafgcrfhlrycskdupyjplixktafggzz",1,8.00864934128859e-06,0.002
"abgzqjgkfvnjabugwhneqaqjdocsmeyiwtfqgiiqdyyivfeggmvadpucuoptbha",1,8.00864934128859e-06,0.002
"abhixuyqkjhqaixgtvlwhlntpypbobfgaaqrnvccoyksupiwosgbzlegbmleouvtnpyni",1,8.00864934128859e-06,0.002
"abhoeqmptrjitkedufuaabnhufuagwpdccanhufugabdccnzwagbngbsnzw",1,8.00864934128859e-06,0.002
"abide",1,8.00864934128859e-06,0.002
"abidjan",13,0.000104112441436752,0.014
"abidjancote",1,8.00864934128859e-06,0.002
"ability",13,0.000104112441436752,0.024
"abilitynbspb",1,8.00864934128859e-06,0.002
"abjwyrloaucykxilcwveleaenwidyrpksovflgexstwaplguydyygghtfwkrlrfwr",1,8.00864934128859e-06,0.002
"able",27,0.000216233532214792,0.038
"abncfisvzvirljgccikyqpdbhxalkkgbtboaehhwblgvaruosamudwpbfvietcnr",1,8.00864934128859e-06,0.002
"abnormal",4,3.20345973651544e-05,0.004
"abo",1,8.00864934128859e-06,0.002
"abonnement",4,3.20345973651544e-05,0.004
"abonnements",2,1.60172986825772e-05,0.004
"abonnés",2,1.60172986825772e-05,0.004
"aboriginal",5,4.0043246706443e-05,0.002
"about",10,8.00864934128859e-05,0.02
"about a week later i rode my bike down to the post 
office and my box had  magazine and about  
envelops stuffed in it there was also a yellow slip 
that said i had to go up to the post office counter 
i thought i was in trouble or something laughs",1,8.00864934128859e-06,0.002
"about a week later i rode my bike down to the post office and my box
had  magazine and about  envelops stuffed in it there was also a
yellow slip that said i had to go up to the post office counter i thought i
was in trouble or something laughs",1,8.00864934128859e-06,0.002
"aboutbbr",1,8.00864934128859e-06,0.002
"aboutbecause",1,8.00864934128859e-06,0.002
"aboutfontbfont",1,8.00864934128859e-06,0.002
"aboutnbspb",1,8.00864934128859e-06,0.002
"aboutu",4,3.20345973651544e-05,0.008
"above",25,0.000200216233532215,0.034
"abovee",1,8.00864934128859e-06,0.002
"abovefontfont",3,2.40259480238658e-05,0.006
"aboveimg",1,8.00864934128859e-06,0.002
"abovetelefax",1,8.00864934128859e-06,0.002
"abpbr",1,8.00864934128859e-06,0.002
"abpnusrepuknxnnanmdmdnwzbthyfyrgrhwvamemztwrmwgobjtdjussf",2,1.60172986825772e-05,0.004
"abptdtr",1,8.00864934128859e-06,0.002
"abqdnmlhkebwwtgrhflhmfpgiwxbcmgnbxlzqupxybtoeeirixjgbpqxygecag",1,8.00864934128859e-06,0.002
"abqkudczoeknennspwrfrrhvjqgaiasrtezadsohaeezzqwxfw",2,1.60172986825772e-05,0.004
"abqqursbubyxmaanuaapwkusubzijdjybaagilijowiejsajecciflygkvkuagirvbis",1,8.00864934128859e-06,0.002
"abr",16,0.000128138389460617,0.016
"abrlittle",1,8.00864934128859e-06,0.002
"abroad",5,4.0043246706443e-05,0.008
"abrtime",1,8.00864934128859e-06,0.002
"abrtrhjphpbpkkhcqmltlkqufheyxehuxndcycschabkqufmhlvtaqfwvadpmrc",1,8.00864934128859e-06,0.002
"absence",3,2.40259480238658e-05,0.004
"absolute",6,4.80518960477315e-05,0.008
"absolutely",57,0.00045649301245345,0.074
"absolutely no laws prohibiting the participation in the program and if
people can follow the simple instructions they are bound to make some
megabucks with only  out of pocket cost",1,8.00864934128859e-06,0.002
"absolutely no laws prohibiting the participation in
the program and if people can follow the simple
instructions they are bound to make some mega bucks
with only  out of pocket cost",3,2.40259480238658e-05,0.006
"abstract",2,1.60172986825772e-05,0.004
"abu",2,1.60172986825772e-05,0.002
"abundant",1,8.00864934128859e-06,0.002
"abuse",19,0.000152164337484483,0.026
"abused",1,8.00864934128859e-06,0.002
"abuses",2,1.60172986825772e-05,0.002
"abwgqexygfwnokxjzdhocyhiwuillwmmvfiaehstavzkcuxgkdfjgdgmrgaoqicoinsg",1,8.00864934128859e-06,0.002
"abwxuqcxzgzwdfsjkgrtewqdptlcwpwsgvynbzyfatolqwajukwcqcgmywctarkgnsiq",1,8.00864934128859e-06,0.002
"abxlmhyvcwrlzdxaaalzdxbyvyzhrailaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",1,8.00864934128859e-06,0.002
"acaameydgesgmfmlfrqgaodgdejojvduhoxdlmaxbqyqoaaoabgaxigrxiggtiuwibyqb",1,8.00864934128859e-06,0.002
"àçäâú",1,8.00864934128859e-06,0.002
"àçàçèüçfrm",1,8.00864934128859e-06,0.002
"àçåçñ",1,8.00864934128859e-06,0.002
"academic",3,2.40259480238658e-05,0.006
"acbaglzihbybnlcnpbmcgzmvllizuynnwoybgbigzwfjaczuynnwozxicjnciagicagigfk",1,8.00864934128859e-06,0.002
"acbbjlegyzyjeufyxqzscizgztugnbqjaumhiesoywtpiiqhipgbhiweafqaoiqnl",1,8.00864934128859e-06,0.002
"acbbybwyxjawnpcgfzsahpgjypgkicagicagpgjypgkicagicagpgzvbnqgysbiiimw",1,8.00864934128859e-06,0.002
"acbjagvjamuieyzgvycybwbgfjzwqgynkynidqogicagicbtblesbvcmrlcibvcibjyxno",1,8.00864934128859e-06,0.002
"acbjywgymugdxnlzcbbybywtlignhcmugbygyfzacbmbgiakbmvl",1,8.00864934128859e-06,0.002
"acbvcibhcybsaxrbgugdgltzsbhcybbugbmvlzcbbybzzwugawygdghp",1,8.00864934128859e-06,0.002
"àççãà",1,8.00864934128859e-06,0.002
"accbcdfedbbdbdccaddacbaacdbaabc",1,8.00864934128859e-06,0.002
"acccount",1,8.00864934128859e-06,0.002
