"term","frequency","density","occurrence"
"a case in point is web designer matt jones the man 
         responsible for how bbc news online looked when it launched 
         since then he has invented warchalking which he recently 
         described as a curse",1,1.8136641456735e-05,0.002
"accelerate",1,1.8136641456735e-05,0.002
"accelerating",2,3.62732829134701e-05,0.004
"acceleration",1,1.8136641456735e-05,0.002
"accelerators",1,1.8136641456735e-05,0.002
"accept",5,9.06832072836752e-05,0.01
"acceptable",3,5.44099243702051e-05,0.006
"acceptance",2,3.62732829134701e-05,0.004
"accepted",2,3.62732829134701e-05,0.004
"accepting",4,7.25465658269402e-05,0.008
"access",22,0.000399006112048171,0.036
"accessed",2,3.62732829134701e-05,0.004
"accesses",1,1.8136641456735e-05,0.002
"accessing",1,1.8136641456735e-05,0.002
"accessory",1,1.8136641456735e-05,0.002
"accident",2,3.62732829134701e-05,0.002
"accidentally",1,1.8136641456735e-05,0.002
"accidently",1,1.8136641456735e-05,0.002
"accommodate",1,1.8136641456735e-05,0.002
"accommodationist",1,1.8136641456735e-05,0.002
"accompanies",1,1.8136641456735e-05,0.002
"accompany",1,1.8136641456735e-05,0.002
"accompanying",2,3.62732829134701e-05,0.004
"according",22,0.000399006112048171,0.036
"accordingly",1,1.8136641456735e-05,0.002
"account",17,0.000308322904764496,0.024
"accounting",4,7.25465658269402e-05,0.004
"accounts",6,0.00010881984874041,0.01
"accross",2,3.62732829134701e-05,0.004
"accrued",1,1.8136641456735e-05,0.002
"accurate",4,7.25465658269402e-05,0.008
"accused",5,9.06832072836752e-05,0.008
"accustomed",1,1.8136641456735e-05,0.002
"ace",1,1.8136641456735e-05,0.002
"acerbic",1,1.8136641456735e-05,0.002
"achieve",1,1.8136641456735e-05,0.002
"acknowledged",1,1.8136641456735e-05,0.002
"acknowledgement",1,1.8136641456735e-05,0.002
"acknowledging",2,3.62732829134701e-05,0.004
"acl",1,1.8136641456735e-05,0.002
"acm",1,1.8136641456735e-05,0.002
"acme",1,1.8136641456735e-05,0.002
"acontentsarticletitlecolorbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightnormalfontstylenormaltextdecorationunderline",2,3.62732829134701e-05,0.002
"acontentsarticletitlehovercolorffbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightnormalfontstylenormaltextdecorationunderline",2,3.62732829134701e-05,0.002
"acpi",2,3.62732829134701e-05,0.004
"acquired",8,0.00014509313165388,0.016
"acquiring",1,1.8136641456735e-05,0.002
"acquisition",5,9.06832072836752e-05,0.004
"acquisitions",1,1.8136641456735e-05,0.002
"across",4,7.25465658269402e-05,0.008
"act",27,0.000489689319331846,0.02
"actbr",1,1.8136641456735e-05,0.002
"acting",1,1.8136641456735e-05,0.002
"action",10,0.00018136641456735,0.016
"actionhttpwwwimakenewscomeletramodinputproccfm",1,1.8136641456735e-05,0.002
"action plan",1,1.8136641456735e-05,0.002
"actions",1,1.8136641456735e-05,0.002
"actionsno",1,1.8136641456735e-05,0.002
"active",6,0.00010881984874041,0.012
"actively",3,5.44099243702051e-05,0.006
"activist",3,5.44099243702051e-05,0.006
"activists",6,0.00010881984874041,0.006
"activities",4,7.25465658269402e-05,0.008
"activity",9,0.000163229773110615,0.01
"acts",5,9.06832072836752e-05,0.008
"actscanners",1,1.8136641456735e-05,0.002
"actsettings",1,1.8136641456735e-05,0.002
"actspartners",3,5.44099243702051e-05,0.002
"actual",17,0.000308322904764496,0.034
"actually",72,0.00130583818488492,0.122
"actually concerning the 
guarantee the question of obvious 
defect will arise this analyis will 
be different depending on whether the 
person who downloads the distribution 
is an it professional or not",1,1.8136641456735e-05,0.002
"actualy",3,5.44099243702051e-05,0.006
"adam",85,0.00154161452382248,0.106
"adamant",1,1.8136641456735e-05,0.002
"adamfantasy",6,0.00010881984874041,0.012
"adam l beberg",3,5.44099243702051e-05,0.006
"adamson",2,3.62732829134701e-05,0.004
"adapted",1,1.8136641456735e-05,0.002
"adapting",3,5.44099243702051e-05,0.006
"add",24,0.000435279394961641,0.042
"add dccrhyolitecom",1,1.8136641456735e-05,0.002
"add dccrhyolitecom
 are respectively unnecessary and wrong  the map file that comes
 with the source points to localhost and dccdccserversnet  those
 two shipped entries usually do the right thing if there is a local
 server  if there is no local server or if the local server fails
 requests are instantly sent to one of the public server names listed
 in the main dcc web page at
 httpwwwrhyolitecomantispamdcc and httpwwwdcc
 serversnetdcc
 dccrhyolitecom has not been listed for months


",1,1.8136641456735e-05,0.002
"added",22,0.000399006112048171,0.036
"addiction",2,3.62732829134701e-05,0.002
"addictive",1,1.8136641456735e-05,0.002
"addicts",1,1.8136641456735e-05,0.002
"adding",6,0.00010881984874041,0.012
"addition",3,5.44099243702051e-05,0.006
"additional",6,0.00010881984874041,0.012
"additions",1,1.8136641456735e-05,0.002
"address",17,0.000308322904764496,0.028
"addressbook",1,1.8136641456735e-05,0.002
"addressee",1,1.8136641456735e-05,0.002
"addresses",6,0.00010881984874041,0.012
"addressing",3,5.44099243702051e-05,0.004
"adds",2,3.62732829134701e-05,0.004
"adelie",1,1.8136641456735e-05,0.002
"adelphia",2,3.62732829134701e-05,0.004
"adequate",4,7.25465658269402e-05,0.008
"adhesion",3,5.44099243702051e-05,0.004
"adhesive",2,3.62732829134701e-05,0.004
"adjourned",1,1.8136641456735e-05,0.002
"adjust",1,1.8136641456735e-05,0.002
"adjusted",1,1.8136641456735e-05,0.002
"adjusting",1,1.8136641456735e-05,0.002
"administer",3,5.44099243702051e-05,0.006
"administration",16,0.000290186263307761,0.016
"administrator",5,9.06832072836752e-05,0.01
"administrivia",1,1.8136641456735e-05,0.002
"admins",1,1.8136641456735e-05,0.002
"admiring",1,1.8136641456735e-05,0.002
"admit",2,3.62732829134701e-05,0.004
"admits",2,3.62732829134701e-05,0.004
"admitted",4,7.25465658269402e-05,0.008
"adobe",2,3.62732829134701e-05,0.004
"adolescence",1,1.8136641456735e-05,0.002
"adolescent",2,3.62732829134701e-05,0.004
"adolf",1,1.8136641456735e-05,0.002
"adopted",2,3.62732829134701e-05,0.002
"adoptee",1,1.8136641456735e-05,0.002
"adopting",2,3.62732829134701e-05,0.004
"adoption",4,7.25465658269402e-05,0.008
"adopts",1,1.8136641456735e-05,0.002
"adresse",1,1.8136641456735e-05,0.002
"adrian",2,3.62732829134701e-05,0.004
"ads",8,0.00014509313165388,0.012
"adsl",4,7.25465658269402e-05,0.006
"adult",4,7.25465658269402e-05,0.008
"adultery",1,1.8136641456735e-05,0.002
"adults",1,1.8136641456735e-05,0.002
"advance",2,3.62732829134701e-05,0.004
"advanced",4,7.25465658269402e-05,0.008
"advancedplacement",1,1.8136641456735e-05,0.002
"advancing",1,1.8136641456735e-05,0.002
"advantage",25,0.000453416036418376,0.046
"advantages",2,3.62732829134701e-05,0.004
"adventures",1,1.8136641456735e-05,0.002
"adversaries",1,1.8136641456735e-05,0.002
"advert",1,1.8136641456735e-05,0.002
"advertise",3,5.44099243702051e-05,0.004
"advertised",2,3.62732829134701e-05,0.004
"advertisement",3,5.44099243702051e-05,0.004
"advertising",10,0.00018136641456735,0.014
"advice",4,7.25465658269402e-05,0.006
"advise",2,3.62732829134701e-05,0.004
"advises",2,3.62732829134701e-05,0.002
"advisory",1,1.8136641456735e-05,0.002
"advocacy",1,1.8136641456735e-05,0.002
"advocate",1,1.8136641456735e-05,0.002
"advocates",2,3.62732829134701e-05,0.002
"aerial",2,3.62732829134701e-05,0.004
"aerikssonfastmailfm",1,1.8136641456735e-05,0.002
"aesthetics",1,1.8136641456735e-05,0.002
"aeyaaaaaauaaaaaaaadamebccagaaaaaadaaaaaaaaargaaaaaqhqaaaaaaaamazoeiiayaaaaa",1,1.8136641456735e-05,0.002
"afaik",2,3.62732829134701e-05,0.004
"affa",1,1.8136641456735e-05,0.002
"affairs",2,3.62732829134701e-05,0.004
"affect",2,3.62732829134701e-05,0.004
"affected",1,1.8136641456735e-05,0.002
"affecting",2,3.62732829134701e-05,0.004
"affectional",1,1.8136641456735e-05,0.002
"affects",1,1.8136641456735e-05,0.002
"affluent",1,1.8136641456735e-05,0.002
"afford",3,5.44099243702051e-05,0.006
"afghanistan",2,3.62732829134701e-05,0.004
"afghanistanis",1,1.8136641456735e-05,0.002
"afont",3,5.44099243702051e-05,0.002
"a fool and his money are soon parted",1,1.8136641456735e-05,0.002
"afooterarchivecolorbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightboldfontstylenormaltextdecorationnone",2,3.62732829134701e-05,0.002
"afooterarchivehovercolorffbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightboldfontstylenormaltextdecorationunderline",2,3.62732829134701e-05,0.002
"afootercopyrightcolorbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightnormalfontstylenormaltextdecorationnone",2,3.62732829134701e-05,0.002
"afooterdisclaimercolorbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightnormalfontstylenormaltextdecorationnone",2,3.62732829134701e-05,0.002
"afooterpdfcolorbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightboldfontstylenormaltextdecorationnone",2,3.62732829134701e-05,0.002
"afooterpdfhovercolorffbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightboldfontstylenormaltextdecorationunderline",2,3.62732829134701e-05,0.002
"afooterpublishercolorbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightnormalfontstylenormaltextdecorationnone",2,3.62732829134701e-05,0.002
"afooterpublisherhovercolorffbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightnormalfontstylenormaltextdecorationunderline",2,3.62732829134701e-05,0.002
"afootertellafriendcolorbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightboldfontstylenormaltextdecorationunderline",2,3.62732829134701e-05,0.002
"afootertellafriendhovercolorffbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightboldfontstylenormaltextdecorationunderline",2,3.62732829134701e-05,0.002
"aforementioned",6,0.00010881984874041,0.012
"afraid",1,1.8136641456735e-05,0.002
"africa",5,9.06832072836752e-05,0.01
"african",6,0.00010881984874041,0.006
"after",3,5.44099243702051e-05,0.006
"afterall",1,1.8136641456735e-05,0.002
"afternoon",4,7.25465658269402e-05,0.008
"afterwards",4,7.25465658269402e-05,0.008
"agaaawaqeasaaaadabeqaqaaabacbabaaaazqaaafdjvehpvvjuruxfqnubbulrorvjcvuc",1,1.8136641456735e-05,0.002
"again",49,0.000888695431380017,0.086
"age",14,0.000253912980394291,0.028
"aged",3,5.44099243702051e-05,0.004
"ageing",1,1.8136641456735e-05,0.002
"agencies",17,0.000308322904764496,0.01
"agency",17,0.000308322904764496,0.014
"agencyhe",1,1.8136641456735e-05,0.002
"agent",5,9.06832072836752e-05,0.002
"agents",7,0.000126956490197145,0.008
"ages",1,1.8136641456735e-05,0.002
"aggressive",2,3.62732829134701e-05,0.004
"agitating",1,1.8136641456735e-05,0.002
"a global security intelligence company",1,1.8136641456735e-05,0.002
"agnula",1,1.8136641456735e-05,0.002
"ago",46,0.000834285507009812,0.078
"agonising",1,1.8136641456735e-05,0.002
"agosto",2,3.62732829134701e-05,0.002
"agree",13,0.000235776338937556,0.02
"agreeable",1,1.8136641456735e-05,0.002
"agreed",5,9.06832072836752e-05,0.006
"agreement",1,1.8136641456735e-05,0.002
"agreements",1,1.8136641456735e-05,0.002
"agrees",1,1.8136641456735e-05,0.002
"agribusiness",1,1.8136641456735e-05,0.002
"agricultural",1,1.8136641456735e-05,0.002
"ahead",4,7.25465658269402e-05,0.008
"ahem",5,9.06832072836752e-05,0.01
"aherne",3,5.44099243702051e-05,0.006
"aid",16,0.000290186263307761,0.01
"aides",1,1.8136641456735e-05,0.002
"aids",11,0.000199503056024085,0.018
"aidshiv",1,1.8136641456735e-05,0.002
"aimed",4,7.25465658269402e-05,0.006
"aims",2,3.62732829134701e-05,0.004
"aint",5,9.06832072836752e-05,0.01
"aio",14,0.000253912980394291,0.008
"air",7,0.000126956490197145,0.014
"airborne",1,1.8136641456735e-05,0.002
"aircooled",2,3.62732829134701e-05,0.004
"aircraft",3,5.44099243702051e-05,0.006
"airline",5,9.06832072836752e-05,0.004
"airlines",5,9.06832072836752e-05,0.002
"airport",5,9.06832072836752e-05,0.004
"airports",1,1.8136641456735e-05,0.002
"airwaves",2,3.62732829134701e-05,0.002
"airways",7,0.000126956490197145,0.002
"aisle",1,1.8136641456735e-05,0.002
"a joke",1,1.8136641456735e-05,0.002
"aka",1,1.8136641456735e-05,0.002
"akamai",1,1.8136641456735e-05,0.002
"alan",3,5.44099243702051e-05,0.006
"alarmed",1,1.8136641456735e-05,0.002
"alaskan",1,1.8136641456735e-05,0.002
"alaslib",1,1.8136641456735e-05,0.002
"alastair",2,3.62732829134701e-05,0.004
"alb",130,0.00235776338937556,0.014
"albans",1,1.8136641456735e-05,0.002
"

alb but if men are really in a hurry roongthip says she can find them a wife
alb and get them married within a week lynch says clients he has found wives
alb for include a blind man a man with one leg and a man with posttraumatic
alb stress disorder

alb why

alb similar marriage agencies can be found in many developing countries critics
alb say they thrive on the neediness of lonely western men who are unable to
alb form relationships in their own country and on the desperation of
alb impoverished women who believe they can find a better life in the west

alb but moylan says that if the arrangement makes both partners happy there is
alb no reason to object if you talk about people who are needy i think
alb everybody wants someone to love them and wants someone to love so yes i
alb need wan he said

alb thai women are dissatisfied with life in thailand i think there",1,1.8136641456735e-05,0.002
"albeit",1,1.8136641456735e-05,0.002
"albert",1,1.8136641456735e-05,0.002
"album",4,7.25465658269402e-05,0.008
"albums",3,5.44099243702051e-05,0.006
"alcatel",1,1.8136641456735e-05,0.002
"alcohol",3,5.44099243702051e-05,0.004
"alcoholics",1,1.8136641456735e-05,0.002
"alerted",1,1.8136641456735e-05,0.002
"alexanders",1,1.8136641456735e-05,0.002
"alfred",2,3.62732829134701e-05,0.002
"algebra",2,3.62732829134701e-05,0.004
"alien",1,1.8136641456735e-05,0.002
"alien resurrection",1,1.8136641456735e-05,0.002
"aliens",4,7.25465658269402e-05,0.004
"aligncenter",4,7.25465658269402e-05,0.002
"aligncenterbrnewsletter",1,1.8136641456735e-05,0.002
"alignleft",4,7.25465658269402e-05,0.002
"alignright",3,5.44099243702051e-05,0.002
"aligntop",1,1.8136641456735e-05,0.002
"aligntopa",1,1.8136641456735e-05,0.002
"alike",2,3.62732829134701e-05,0.004
"alive",7,0.000126956490197145,0.012
"all",44,0.000798012224096342,0.08
"allay",1,1.8136641456735e-05,0.002
"alleged",2,3.62732829134701e-05,0.004
"allegedly",2,3.62732829134701e-05,0.004
"allen",1,1.8136641456735e-05,0.002
"alley",2,3.62732829134701e-05,0.004
"alleycat",1,1.8136641456735e-05,0.002
"alleyways",2,3.62732829134701e-05,0.004
"alliance",9,0.000163229773110615,0.008
"allies",1,1.8136641456735e-05,0.002
"allocating",1,1.8136641456735e-05,0.002
"allocation",2,3.62732829134701e-05,0.004
"all of my classes have been easy for me math and sciences were always fun
so i looked for professions in which i could use those things",1,1.8136641456735e-05,0.002
"allow",18,0.000326459546221231,0.032
"allowed",15,0.000272049621851026,0.028
"allowing",1,1.8136641456735e-05,0.002
"allows",12,0.00021763969748082,0.024
"allround",1,1.8136641456735e-05,0.002
"all the hipness is gone",1,1.8136641456735e-05,0.002
"all this crap about highprotein drinks pills diets its just a load of
 bollocks and a multimillionpound racket",1,1.8136641456735e-05,0.002
"allude",1,1.8136641456735e-05,0.002
"all you
need is a global government more draconian than any that has occured
before in history",1,1.8136641456735e-05,0.002
"almasri",2,3.62732829134701e-05,0.004
"almighty",1,1.8136641456735e-05,0.002
"almost",2,3.62732829134701e-05,0.004
"alone",2,3.62732829134701e-05,0.004
"along",10,0.00018136641456735,0.02
"alongside",3,5.44099243702051e-05,0.006
"alook",2,3.62732829134701e-05,0.004
"alot",3,5.44099243702051e-05,0.004
"alpha",1,1.8136641456735e-05,0.002
"alphie",1,1.8136641456735e-05,0.002
"already",5,9.06832072836752e-05,0.008
"alsa",19,0.000344596187677966,0.008
"alsadriver",3,5.44099243702051e-05,0.002
"alsadriverrcfrsrcrpm",1,1.8136641456735e-05,0.002
"alsadrivers",1,1.8136641456735e-05,0.002
"alsalibdevel",1,1.8136641456735e-05,0.002
"alsalibs",2,3.62732829134701e-05,0.002
"alsamixer",1,1.8136641456735e-05,0.002
"alsautils",2,3.62732829134701e-05,0.004
"also",19,0.000344596187677966,0.036
"alsorans",1,1.8136641456735e-05,0.002
"alt",4,7.25465658269402e-05,0.004
"altavista",1,1.8136641456735e-05,0.002
"alter",2,3.62732829134701e-05,0.004
"alteration",1,1.8136641456735e-05,0.002
"altered",1,1.8136641456735e-05,0.002
"alternative",14,0.000253912980394291,0.022
"alternatively",1,1.8136641456735e-05,0.002
"alternatives",6,0.00010881984874041,0.012
"although",2,3.62732829134701e-05,0.004
"altitude",3,5.44099243702051e-05,0.006
"altmedia",1,1.8136641456735e-05,0.002
"altteens",1,1.8136641456735e-05,0.002
"alva",1,1.8136641456735e-05,0.002
"alwaysdoomed",1,1.8136641456735e-05,0.002
"always 
show sequences",1,1.8136641456735e-05,0.002
"amaaaaaaaabgaaaaabifaaaaaaaacwdlgqggbgaaaaaawaaaaaaaaeyaaaaabouaaaaaaaalaomb",1,1.8136641456735e-05,0.002
"amavisd",1,1.8136641456735e-05,0.002
"amavispostfix",1,1.8136641456735e-05,0.002
"amazed",4,7.25465658269402e-05,0.006
"amazes",1,1.8136641456735e-05,0.002
"amazing",9,0.000163229773110615,0.018
"amazingly",2,3.62732829134701e-05,0.004
"amazon",2,3.62732829134701e-05,0.004
"amazonian",1,1.8136641456735e-05,0.002
"ambiguity",1,1.8136641456735e-05,0.002
"ambiguous",1,1.8136641456735e-05,0.002
"ambitions",1,1.8136641456735e-05,0.002
"ambivalent",1,1.8136641456735e-05,0.002
"amen",3,5.44099243702051e-05,0.006
"amended",2,3.62732829134701e-05,0.004
"america",30,0.000544099243702051,0.03
"american",20,0.000362732829134701,0.032
"americanhistory",1,1.8136641456735e-05,0.002
"americans",21,0.000380869470591436,0.026
"americanstyle",1,1.8136641456735e-05,0.002
"americas",5,9.06832072836752e-05,0.008
"amiable",1,1.8136641456735e-05,0.002
"amid",1,1.8136641456735e-05,0.002
"amiga",1,1.8136641456735e-05,0.002
"amongst",6,0.00010881984874041,0.012
"amount",18,0.000326459546221231,0.028
"amounts",5,9.06832072836752e-05,0.01
"amphetadesk",2,3.62732829134701e-05,0.002
"amphitheatre",1,1.8136641456735e-05,0.002
"amr",1,1.8136641456735e-05,0.002
"amused",3,5.44099243702051e-05,0.006
"amusing",4,7.25465658269402e-05,0.008
"analog",1,1.8136641456735e-05,0.002
"analogous",1,1.8136641456735e-05,0.002
"analogy",1,1.8136641456735e-05,0.002
"analyses",1,1.8136641456735e-05,0.002
"analysis",7,0.000126956490197145,0.006
"analyst",6,0.00010881984874041,0.01
"analysts",2,3.62732829134701e-05,0.002
"analyzing",6,0.00010881984874041,0.012
"ananova",5,9.06832072836752e-05,0.01
"anantapur",2,3.62732829134701e-05,0.004
"ancestral",1,1.8136641456735e-05,0.002
"ancient",4,7.25465658269402e-05,0.008
"and",73,0.00132397482634166,0.104
"andean",1,1.8136641456735e-05,0.002
"anders",1,1.8136641456735e-05,0.002
"anderson",5,9.06832072836752e-05,0.01
"andes",1,1.8136641456735e-05,0.002
"and from all indications he is going to continue
to commit murder",1,1.8136641456735e-05,0.002
"andhra",2,3.62732829134701e-05,0.004
"andor",5,9.06832072836752e-05,0.006
"and pretty 
soon youre talking real money",1,1.8136641456735e-05,0.002
"andrew",4,7.25465658269402e-05,0.008
"andrey",2,3.62732829134701e-05,0.004
"andris",1,1.8136641456735e-05,0.002
"and sometimes they are very
alb impatient and say give me a lady i want to get married now i say calm
alb down ok well talk",1,1.8136641456735e-05,0.002
"and sometimes they are very
impatient and say give me a lady i want to get married now i say calm
down ok well talk",1,1.8136641456735e-05,0.002
"andy",1,1.8136641456735e-05,0.002
"anecdotal",2,3.62732829134701e-05,0.004
"anecdote",7,0.000126956490197145,0.012
"anecdotes",3,5.44099243702051e-05,0.006
"angegangen",1,1.8136641456735e-05,0.002
"angela",2,3.62732829134701e-05,0.004
"angeles",3,5.44099243702051e-05,0.006
"anger",2,3.62732829134701e-05,0.004
"angered",2,3.62732829134701e-05,0.004
"angiulo",1,1.8136641456735e-05,0.002
"angle",5,9.06832072836752e-05,0.01
"angles",7,0.000126956490197145,0.01
"anglesaminvestmentscom",2,3.62732829134701e-05,0.002
"angles puglisi",1,1.8136641456735e-05,0.002
"anglican",1,1.8136641456735e-05,0.002
"anglicans",2,3.62732829134701e-05,0.002
"anglo",3,5.44099243702051e-05,0.006
"angry",6,0.00010881984874041,0.012
"angstrom",1,1.8136641456735e-05,0.002
"anihcaaeabeakgaaauacwebcyabaceaaaaxnundqzumzcnjvgotrcodjbotenjiqjyodi",1,1.8136641456735e-05,0.002
"animal",19,0.000344596187677966,0.016
"animals",4,7.25465658269402e-05,0.002
"anime",4,7.25465658269402e-05,0.004
"animosity",1,1.8136641456735e-05,0.002
"anniversary",1,1.8136641456735e-05,0.002
"announce",2,3.62732829134701e-05,0.004
"announced",12,0.00021763969748082,0.016
"announcement",2,3.62732829134701e-05,0.002
"annoy",4,7.25465658269402e-05,0.006
"annoyed",1,1.8136641456735e-05,0.002
"annoying",1,1.8136641456735e-05,0.002
"annual",3,5.44099243702051e-05,0.004
"anodyne",1,1.8136641456735e-05,0.002
"anonymizing",1,1.8136641456735e-05,0.002
"anonymous",8,0.00014509313165388,0.008
"anonymously",2,3.62732829134701e-05,0.004
"another",12,0.00021763969748082,0.024
"ansi",1,1.8136641456735e-05,0.002
"answer",13,0.000235776338937556,0.02
"answers",5,9.06832072836752e-05,0.01
"ant",2,3.62732829134701e-05,0.002
"antarctica",2,3.62732829134701e-05,0.002
"antediluvian",1,1.8136641456735e-05,0.002
"antelope",1,1.8136641456735e-05,0.002
"antelopes",1,1.8136641456735e-05,0.002
"antenna",1,1.8136641456735e-05,0.002
"antennas",1,1.8136641456735e-05,0.002
"antequated",8,0.00014509313165388,0.016
"anthropometric",1,1.8136641456735e-05,0.002
"anti",1,1.8136641456735e-05,0.002
"antialiased",3,5.44099243702051e-05,0.004
"anticlinton",1,1.8136641456735e-05,0.002
"antiesso",1,1.8136641456735e-05,0.002
"antifraud",2,3.62732829134701e-05,0.002
"antijava",1,1.8136641456735e-05,0.002
"antinews",1,1.8136641456735e-05,0.002
"antioo",1,1.8136641456735e-05,0.002
"antiquated",8,0.00014509313165388,0.01
"antique",3,5.44099243702051e-05,0.004
"antiquity",1,1.8136641456735e-05,0.002
"antisemitic",1,1.8136641456735e-05,0.002
"antispam",2,3.62732829134701e-05,0.002
"antithesis",1,1.8136641456735e-05,0.002
"antithetical",1,1.8136641456735e-05,0.002
"antitrust",3,5.44099243702051e-05,0.004
"antivirus",1,1.8136641456735e-05,0.002
"antiword",2,3.62732829134701e-05,0.004
"antoin",1,1.8136641456735e-05,0.002
"antoineirecom",1,1.8136641456735e-05,0.002
"antonio",1,1.8136641456735e-05,0.002
"any",1,1.8136641456735e-05,0.002
"anyhow",2,3.62732829134701e-05,0.002
"anymore",9,0.000163229773110615,0.018
"anyone",7,0.000126956490197145,0.014
"anything",7,0.000126956490197145,0.014
"anytime",1,1.8136641456735e-05,0.002
"anyway",15,0.000272049621851026,0.028
"anyways",2,3.62732829134701e-05,0.002
"anywhere",2,3.62732829134701e-05,0.004
"aol",7,0.000126956490197145,0.01
"aoloxygen",2,3.62732829134701e-05,0.002
"apachexml",1,1.8136641456735e-05,0.002
"apart",3,5.44099243702051e-05,0.006
"apartment",4,7.25465658269402e-05,0.006
"apbr",3,5.44099243702051e-05,0.002
"apc",4,7.25465658269402e-05,0.004
"apecqqaabadbaaaadaaaaenvewxllcbtzwfuaaibtbaaaaxqaaaaaaaadcpdiweiqgrs",1,1.8136641456735e-05,0.002
"aphidlike",1,1.8136641456735e-05,0.002
"api",9,0.000163229773110615,0.012
"a picture on an album cover",1,1.8136641456735e-05,0.002
"apirot",2,3.62732829134701e-05,0.002
"apis",14,0.000253912980394291,0.016
"aplay",1,1.8136641456735e-05,0.002
"apologies",5,9.06832072836752e-05,0.01
"apols",2,3.62732829134701e-05,0.004
"apoplectically",1,1.8136641456735e-05,0.002
"app",2,3.62732829134701e-05,0.004
"apparent",12,0.00021763969748082,0.024
"apparently",16,0.000290186263307761,0.026
"appartement",2,3.62732829134701e-05,0.002
"appea",1,1.8136641456735e-05,0.002
"appeal",1,1.8136641456735e-05,0.002
"appealing",2,3.62732829134701e-05,0.004
"appear",21,0.000380869470591436,0.04
"appearances",1,1.8136641456735e-05,0.002
